"AREA","PERIMETER","JUNK_","JUNK_ID","PLACENAME"
"154",3.184,8.603,"156","3","Asia"
"155",0.331,2.709,"157","7","North America"
"156",0.045,1.692,"158","7","North America"
"157",0.126,2.385,"159","7","North America"
"158",9.183,29.925,"160","7","North America"
"159",0.015,0.579,"161","3","Asia"
"160",0.131,1.361,"162","7","North America"
"161",0.197,2.162,"163","7","North America"
"162",0.013,0.572,"164","7","North America"
"163",0.138,1.694,"165","7","North America"
"164",0.144,1.904,"166","7","North America"
"165",0.905,4.157,"167","7","North America"
"166",2.907,7.492,"168","3","Asia"
"167",6.391,19.768,"169","7","North America"
"168",0.018,0.734,"170","7","North America"
"169",0.002,0.151,"171","5","Oceania East"
"170",8.829,27.558,"172","3","Asia"
"171",0.944,5.367,"173","7","North America"
"172",0.776,4.161,"174","7","North America"
"173",0.006,0.336,"175","7","North America"
"174",0.008,0.468,"176","7","North America"
"175",0.019,0.738,"177","7","North America"
"176",0.017,0.666,"178","7","North America"
"177",0.029,0.633,"179","7","North America"
"178",0,0.039,"180","3","Asia"
"179",0,0.037,"181","3","Asia"
"180",0,0.022,"182","3","Asia"
"181",0,0.03,"183","3","Asia"
"182",0.01,0.379,"184","7","North America"
"183",0,0.046,"185","5","Oceania West"
"184",0,0.043,"186","3","Asia"
"185",0.147,1.927,"187","7","North America"
"186",0,0.044,"188","3","Asia"
"187",0,0.035,"189","3","Asia"
"188",0.064,1.088,"190","7","North America"
"189",0.082,1.133,"191","1","Africa"
"190",0.01,0.499,"192","5","Oceania East"
"191",0.098,1.373,"193","7","North America"
"192",0.054,0.947,"194","7","North America"
"193",0.06,1.079,"195","5","Oceania East"
"194",0.119,1.752,"196","3","Asia"
"195",0.846,4.06,"197","3","Asia"
"196",0.029,0.65,"198","7","North America"
"197",0.038,0.809,"199","7","North America"
"198",0.129,1.669,"200","3","Asia"
"199",0.309,2.586,"201","3","Asia"
"200",0.017,0.61,"202","7","North America"
"201",0.282,3.311,"203","3","Asia"
"202",1.014,5.06,"204","3","Asia"
"203",1517.851,337.277,"205","6","South America"
