T20,Major trading partners,,,,,,,
Region/Country/Area,,Year,Series,Major trading partner 1 (% of exports),Major trading partner 1 (% of exports) footnote,Value,Footnotes,Source
262,Djibouti,2020,Major trading partner 1 (% of imports),China,,42.8,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
262,Djibouti,2010,Major trading partner 2 (% of exports),China,,0.0,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
262,Djibouti,2015,Major trading partner 2 (% of exports),China,,0.7,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
262,Djibouti,2020,Major trading partner 2 (% of exports),China,,22.8,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
262,Djibouti,2010,Major trading partner 2 (% of imports),United Arab Emirates,,18.5,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
262,Djibouti,2015,Major trading partner 2 (% of imports),United Arab Emirates,,7.5,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
262,Djibouti,2020,Major trading partner 2 (% of imports),United Arab Emirates,,14.1,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
262,Djibouti,2010,Major trading partner 3 (% of exports),United States,,0.4,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
262,Djibouti,2015,Major trading partner 3 (% of exports),United States,,25.9,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
262,Djibouti,2020,Major trading partner 3 (% of exports),United States,,20.2,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
262,Djibouti,2010,Major trading partner 3 (% of imports),India,,3.2,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
262,Djibouti,2015,Major trading partner 3 (% of imports),India,,4.8,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
262,Djibouti,2020,Major trading partner 3 (% of imports),India,,6.3,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
212,Dominica,2015,Major trading partner 1 (% of exports),Saudi Arabia,,10.3,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
212,Dominica,2020,Major trading partner 1 (% of exports),Saudi Arabia,,38.0,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
212,Dominica,2010,Major trading partner 1 (% of imports),United States,,41.8,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
212,Dominica,2015,Major trading partner 1 (% of imports),United States,,29.9,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
212,Dominica,2020,Major trading partner 1 (% of imports),United States,,32.2,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
212,Dominica,2010,Major trading partner 2 (% of exports),Bahamas,,0.4,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
212,Dominica,2015,Major trading partner 2 (% of exports),Bahamas,,50.8,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
212,Dominica,2020,Major trading partner 2 (% of exports),Bahamas,,13.7,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
212,Dominica,2010,Major trading partner 2 (% of imports),Nigeria,,0.0,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
212,Dominica,2020,Major trading partner 2 (% of imports),Nigeria,,30.2,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
212,Dominica,2020,Major trading partner 3 (% of exports),Senegal,,4.9,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
212,Dominica,2010,Major trading partner 3 (% of imports),China,,4.0,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
212,Dominica,2015,Major trading partner 3 (% of imports),China,,13.7,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
212,Dominica,2020,Major trading partner 3 (% of imports),China,,5.9,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
214,Dominican Republic,2010,Major trading partner 1 (% of exports),United States,,57.7,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
214,Dominican Republic,2015,Major trading partner 1 (% of exports),United States,,53.6,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
214,Dominican Republic,2020,Major trading partner 1 (% of exports),United States,,55.5,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
214,Dominican Republic,2010,Major trading partner 1 (% of imports),United States,,39.0,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
214,Dominican Republic,2015,Major trading partner 1 (% of imports),United States,,41.3,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
214,Dominican Republic,2020,Major trading partner 1 (% of imports),United States,,43.5,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
214,Dominican Republic,2010,Major trading partner 2 (% of exports),Haiti,,16.8,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
214,Dominican Republic,2015,Major trading partner 2 (% of exports),Haiti,,12.1,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
214,Dominican Republic,2020,Major trading partner 2 (% of exports),Haiti,,9.3,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
214,Dominican Republic,2010,Major trading partner 2 (% of imports),China,,10.7,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
214,Dominican Republic,2015,Major trading partner 2 (% of imports),China,,13.4,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
214,Dominican Republic,2020,Major trading partner 2 (% of imports),China,,14.3,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
214,Dominican Republic,2010,Major trading partner 3 (% of exports),India,,0.9,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
214,Dominican Republic,2015,Major trading partner 3 (% of exports),India,,6.7,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
214,Dominican Republic,2020,Major trading partner 3 (% of exports),India,,7.2,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
214,Dominican Republic,2010,Major trading partner 3 (% of imports),Brazil,,2.3,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
214,Dominican Republic,2015,Major trading partner 3 (% of imports),Brazil,,3.2,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
214,Dominican Republic,2020,Major trading partner 3 (% of imports),Brazil,,3.7,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
218,Ecuador,2010,Major trading partner 1 (% of exports),United States,,34.7,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
218,Ecuador,2015,Major trading partner 1 (% of exports),United States,,39.4,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
218,Ecuador,2020,Major trading partner 1 (% of exports),United States,,30.2,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
218,Ecuador,2010,Major trading partner 1 (% of imports),United States,,27.9,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
218,Ecuador,2015,Major trading partner 1 (% of imports),United States,,23.8,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
218,Ecuador,2020,Major trading partner 1 (% of imports),United States,,21.7,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
218,Ecuador,2010,Major trading partner 2 (% of exports),China,,1.9,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
218,Ecuador,2015,Major trading partner 2 (% of exports),China,,3.9,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
218,Ecuador,2020,Major trading partner 2 (% of exports),China,,13.0,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
218,Ecuador,2010,Major trading partner 2 (% of imports),China,,7.8,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
218,Ecuador,2015,Major trading partner 2 (% of imports),China,,19.0,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
218,Ecuador,2020,Major trading partner 2 (% of imports),China,,18.9,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
218,Ecuador,2010,Major trading partner 3 (% of exports),Panama,,12.2,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
218,Ecuador,2015,Major trading partner 3 (% of exports),Panama,,2.4,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
218,Ecuador,2020,Major trading partner 3 (% of exports),Panama,,8.6,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
218,Ecuador,2010,Major trading partner 3 (% of imports),Colombia,,9.8,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
218,Ecuador,2015,Major trading partner 3 (% of imports),Colombia,,7.6,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
218,Ecuador,2020,Major trading partner 3 (% of imports),Colombia,,7.9,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
818,Egypt,2010,Major trading partner 1 (% of exports),United Arab Emirates,,2.3,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
818,Egypt,2015,Major trading partner 1 (% of exports),United Arab Emirates,,5.1,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
818,Egypt,2020,Major trading partner 1 (% of exports),United Arab Emirates,,10.7,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
818,Egypt,2010,Major trading partner 1 (% of imports),China,,9.2,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
818,Egypt,2015,Major trading partner 1 (% of imports),China,,13.1,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
818,Egypt,2020,Major trading partner 1 (% of imports),China,,15.0,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
818,Egypt,2010,Major trading partner 2 (% of exports),Saudi Arabia,,5.9,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
818,Egypt,2015,Major trading partner 2 (% of exports),Saudi Arabia,,9.2,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
818,Egypt,2020,Major trading partner 2 (% of exports),Saudi Arabia,,6.4,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
818,Egypt,2010,Major trading partner 2 (% of imports),United States,,9.4,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
818,Egypt,2015,Major trading partner 2 (% of imports),United States,,5.9,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
818,Egypt,2020,Major trading partner 2 (% of imports),United States,,6.7,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
818,Egypt,2010,Major trading partner 3 (% of exports),Turkey,,3.7,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
818,Egypt,2015,Major trading partner 3 (% of exports),Turkey,,5.8,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
818,Egypt,2020,Major trading partner 3 (% of exports),Turkey,,6.2,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
818,Egypt,2010,Major trading partner 3 (% of imports),Saudi Arabia,,4.0,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
818,Egypt,2015,Major trading partner 3 (% of imports),Saudi Arabia,,4.0,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
818,Egypt,2020,Major trading partner 3 (% of imports),Saudi Arabia,,6.3,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
222,El Salvador,2010,Major trading partner 1 (% of exports),United States,,48.4,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
222,El Salvador,2015,Major trading partner 1 (% of exports),United States,,46.9,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
222,El Salvador,2020,Major trading partner 1 (% of exports),United States,,39.7,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
222,El Salvador,2010,Major trading partner 1 (% of imports),United States,,33.0,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
222,El Salvador,2015,Major trading partner 1 (% of imports),United States,,33.8,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
222,El Salvador,2020,Major trading partner 1 (% of imports),United States,,26.4,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
222,El Salvador,2010,Major trading partner 2 (% of exports),Guatemala,,14.0,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
222,El Salvador,2015,Major trading partner 2 (% of exports),Guatemala,,13.6,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
222,El Salvador,2020,Major trading partner 2 (% of exports),Guatemala,,16.9,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
222,El Salvador,2010,Major trading partner 2 (% of imports),China,,10.4,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
222,El Salvador,2015,Major trading partner 2 (% of imports),China,,13.6,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
222,El Salvador,2020,Major trading partner 2 (% of imports),China,,14.6,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
222,El Salvador,2010,Major trading partner 3 (% of exports),Honduras,,12.9,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
222,El Salvador,2015,Major trading partner 3 (% of exports),Honduras,,14.0,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
222,El Salvador,2020,Major trading partner 3 (% of exports),Honduras,,15.4,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
222,El Salvador,2010,Major trading partner 3 (% of imports),Guatemala,,8.7,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
222,El Salvador,2015,Major trading partner 3 (% of imports),Guatemala,,9.9,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
222,El Salvador,2020,Major trading partner 3 (% of imports),Guatemala,,11.5,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
226,Equatorial Guinea,2010,Major trading partner 1 (% of exports),China,,6.2,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
226,Equatorial Guinea,2015,Major trading partner 1 (% of exports),China,,17.1,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
226,Equatorial Guinea,2020,Major trading partner 1 (% of exports),China,,33.3,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
226,Equatorial Guinea,2010,Major trading partner 1 (% of imports),Spain,,5.8,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
226,Equatorial Guinea,2015,Major trading partner 1 (% of imports),Spain,,16.7,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
226,Equatorial Guinea,2020,Major trading partner 1 (% of imports),Spain,,20.4,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
226,Equatorial Guinea,2010,Major trading partner 2 (% of exports),Spain,,10.0,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
226,Equatorial Guinea,2015,Major trading partner 2 (% of exports),Spain,,9.2,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
226,Equatorial Guinea,2020,Major trading partner 2 (% of exports),Spain,,11.9,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
226,Equatorial Guinea,2010,Major trading partner 2 (% of imports),China,,8.9,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
226,Equatorial Guinea,2015,Major trading partner 2 (% of imports),China,,14.9,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
226,Equatorial Guinea,2020,Major trading partner 2 (% of imports),China,,13.1,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
226,Equatorial Guinea,2010,Major trading partner 3 (% of exports),Portugal,,2.5,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
226,Equatorial Guinea,2015,Major trading partner 3 (% of exports),Portugal,,3.6,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
226,Equatorial Guinea,2020,Major trading partner 3 (% of exports),Portugal,,11.3,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
226,Equatorial Guinea,2010,Major trading partner 3 (% of imports),United States,,5.3,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
226,Equatorial Guinea,2015,Major trading partner 3 (% of imports),United States,,9.3,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
226,Equatorial Guinea,2020,Major trading partner 3 (% of imports),United States,,10.4,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
232,Eritrea,2010,Major trading partner 1 (% of exports),China,,5.8,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
232,Eritrea,2015,Major trading partner 1 (% of exports),China,,38.7,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
232,Eritrea,2020,Major trading partner 1 (% of exports),China,,60.3,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
232,Eritrea,2010,Major trading partner 1 (% of imports),United Arab Emirates,,14.2,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
232,Eritrea,2015,Major trading partner 1 (% of imports),United Arab Emirates,,12.9,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
232,Eritrea,2020,Major trading partner 1 (% of imports),United Arab Emirates,,24.1,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
232,Eritrea,2010,Major trading partner 2 (% of exports),United Arab Emirates,,13.4,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
232,Eritrea,2015,Major trading partner 2 (% of exports),United Arab Emirates,,4.5,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
232,Eritrea,2020,Major trading partner 2 (% of exports),United Arab Emirates,,27.6,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
232,Eritrea,2010,Major trading partner 2 (% of imports),Egypt,,10.9,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
232,Eritrea,2015,Major trading partner 2 (% of imports),Egypt,,12.0,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
232,Eritrea,2020,Major trading partner 2 (% of imports),Egypt,,21.3,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
232,Eritrea,2010,Major trading partner 3 (% of exports),Republic of Korea,,0.1,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
232,Eritrea,2015,Major trading partner 3 (% of exports),Republic of Korea,,3.0,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
232,Eritrea,2020,Major trading partner 3 (% of exports),Republic of Korea,,10.6,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
232,Eritrea,2010,Major trading partner 3 (% of imports),China,,7.6,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
232,Eritrea,2015,Major trading partner 3 (% of imports),China,,32.5,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
232,Eritrea,2020,Major trading partner 3 (% of imports),China,,19.1,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
233,Estonia,2010,Major trading partner 1 (% of exports),Finland,,15.3,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
233,Estonia,2015,Major trading partner 1 (% of exports),Finland,,14.5,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
233,Estonia,2020,Major trading partner 1 (% of exports),Finland,,15.1,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
233,Estonia,2010,Major trading partner 1 (% of imports),Germany,,10.6,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
233,Estonia,2015,Major trading partner 1 (% of imports),Germany,,9.7,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
233,Estonia,2020,Major trading partner 1 (% of imports),Germany,,9.8,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
233,Estonia,2010,Major trading partner 2 (% of exports),Sweden,,14.0,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
233,Estonia,2015,Major trading partner 2 (% of exports),Sweden,,17.3,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
233,Estonia,2020,Major trading partner 2 (% of exports),Sweden,,10.0,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
233,Estonia,2010,Major trading partner 2 (% of imports),China,,7.0,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
233,Estonia,2015,Major trading partner 2 (% of imports),China,,8.0,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
233,Estonia,2020,Major trading partner 2 (% of imports),China,,9.3,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
233,Estonia,2010,Major trading partner 3 (% of exports),Latvia,,8.0,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
233,Estonia,2015,Major trading partner 3 (% of exports),Latvia,,9.5,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
233,Estonia,2020,Major trading partner 3 (% of exports),Latvia,,8.7,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
233,Estonia,2010,Major trading partner 3 (% of imports),Russian Federation,,10.5,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
233,Estonia,2015,Major trading partner 3 (% of imports),Russian Federation,,9.8,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
233,Estonia,2020,Major trading partner 3 (% of imports),Russian Federation,,9.1,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
748,Eswatini,2010,Major trading partner 1 (% of exports),South Africa,,50.1,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
748,Eswatini,2015,Major trading partner 1 (% of exports),South Africa,,62.7,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
748,Eswatini,2020,Major trading partner 1 (% of exports),South Africa,,66.6,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
748,Eswatini,2010,Major trading partner 1 (% of imports),South Africa,,81.2,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
748,Eswatini,2015,Major trading partner 1 (% of imports),South Africa,,79.2,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
748,Eswatini,2020,Major trading partner 1 (% of imports),South Africa,,73.0,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
