T20,Major trading partners,,,,,,,
Region/Country/Area,,Year,Series,Major trading partner 1 (% of exports),Major trading partner 1 (% of exports) footnote,Value,Footnotes,Source
12,Algeria,2015,Major trading partner 1 (% of exports),Italy,,15.1,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
12,Algeria,2020,Major trading partner 1 (% of exports),Italy,,16.2,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
12,Algeria,2010,Major trading partner 1 (% of imports),China,,11.2,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
12,Algeria,2015,Major trading partner 1 (% of imports),China,,15.9,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
12,Algeria,2020,Major trading partner 1 (% of imports),China,,16.4,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
12,Algeria,2010,Major trading partner 2 (% of exports),France,,6.6,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
12,Algeria,2015,Major trading partner 2 (% of exports),France,,13.2,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
12,Algeria,2020,Major trading partner 2 (% of exports),France,,13.8,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
12,Algeria,2010,Major trading partner 2 (% of imports),France,,14.9,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
12,Algeria,2015,Major trading partner 2 (% of imports),France,,10.5,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
12,Algeria,2020,Major trading partner 2 (% of imports),France,,14.1,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
12,Algeria,2010,Major trading partner 3 (% of exports),Spain,,10.4,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
12,Algeria,2015,Major trading partner 3 (% of exports),Spain,,17.7,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
12,Algeria,2020,Major trading partner 3 (% of exports),Spain,,12.9,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
12,Algeria,2010,Major trading partner 3 (% of imports),Russian Federation,,0.4,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
12,Algeria,2015,Major trading partner 3 (% of imports),Russian Federation,,1.6,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
12,Algeria,2020,Major trading partner 3 (% of imports),Russian Federation,,7.6,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
20,Andorra,2010,Major trading partner 1 (% of exports),Spain,,67.4,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
20,Andorra,2015,Major trading partner 1 (% of exports),Spain,,57.5,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
20,Andorra,2020,Major trading partner 1 (% of exports),Spain,,61.7,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
20,Andorra,2010,Major trading partner 1 (% of imports),Spain,,59.9,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
20,Andorra,2015,Major trading partner 1 (% of imports),Spain,,64.0,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
20,Andorra,2020,Major trading partner 1 (% of imports),Spain,,64.2,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
20,Andorra,2010,Major trading partner 2 (% of exports),France,,16.8,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
20,Andorra,2015,Major trading partner 2 (% of exports),France,,19.5,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
20,Andorra,2020,Major trading partner 2 (% of exports),France,,18.3,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
20,Andorra,2010,Major trading partner 2 (% of imports),France,,17.6,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
20,Andorra,2015,Major trading partner 2 (% of imports),France,,15.9,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
20,Andorra,2020,Major trading partner 2 (% of imports),France,,13.2,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
20,Andorra,2010,Major trading partner 3 (% of exports),Norway,,4.3,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
20,Andorra,2015,Major trading partner 3 (% of exports),Norway,,3.7,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
20,Andorra,2020,Major trading partner 3 (% of exports),Norway,,3.7,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
20,Andorra,2010,Major trading partner 3 (% of imports),China,,4.1,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
20,Andorra,2015,Major trading partner 3 (% of imports),China,,3.8,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
20,Andorra,2020,Major trading partner 3 (% of imports),China,,3.6,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
24,Angola,2010,Major trading partner 1 (% of exports),China,,39.8,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
24,Angola,2015,Major trading partner 1 (% of exports),China,,42.2,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
24,Angola,2020,Major trading partner 1 (% of exports),China,,58.2,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
24,Angola,2010,Major trading partner 1 (% of imports),China,,10.1,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
24,Angola,2015,Major trading partner 1 (% of imports),China,,15.4,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
24,Angola,2020,Major trading partner 1 (% of imports),China,,14.5,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
24,Angola,2010,Major trading partner 2 (% of exports),India,,9.7,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
24,Angola,2015,Major trading partner 2 (% of exports),India,,7.9,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
24,Angola,2020,Major trading partner 2 (% of exports),India,,9.0,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
24,Angola,2010,Major trading partner 2 (% of imports),Portugal,,14.4,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
24,Angola,2015,Major trading partner 2 (% of imports),Portugal,,12.9,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
24,Angola,2020,Major trading partner 2 (% of imports),Portugal,,13.6,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
24,Angola,2010,Major trading partner 3 (% of exports),United States,,18.9,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
